order_id,product_id,customer_id,quantity,unit_price,total_amount,order_date,payment_method,warehouse_id,priority
ORD-00048,AMD Ryzen 9 7950X,CUST-0054,125,326.39,40798.75,2025-09-01,Cash on Delivery,WH-WEST-02,Critical
ORD-00049,Logitech MX Master 3S,CUST-0040,139,356.95,49616.05,2025-08-11,Purchase Order,WH-INTL-02,Critical
ORD-00050,Nintendo Switch OLED,CUST-0162,151,372.65,56270.15,2024-02-05,Purchase Order,WH-EAST-01,High
ORD-00051,AMD Ryzen 9 7950X,CUST-0074,180,402.21,72397.8,2025-09-03,Net 30,WH-SOUTH-01,High
ORD-00052,GoPro HERO12 Black,CUST-0132,33,74.58,2461.14,2024-08-09,Net 30,WH-EAST-02,Medium
ORD-00053,Bose QuietComfort Ultra,CUST-0274,41,362.11,14846.51,2024-04-13,Credit Card,WH-EAST-02,High
ORD-00054,Google Pixel 8 Pro,CUST-0117,74,285.57,21132.18,2025-09-22,Purchase Order,WH-EAST-01,Low
ORD-00055,Sony WH-1000XM5,CUST-0224,19,99.4,1888.6,2025-12-17,Wire Transfer,WH-WEST-01,Medium
ORD-00056,Elgato Stream Deck,CUST-0255,136,354.57,48221.52,2025-08-28,Purchase Order,WH-WEST-01,Medium
ORD-00057,Asus ROG Zephyrus G14,CUST-0259,102,360.41,36761.82,2024-12-15,Net 30,WH-EAST-02,Medium
ORD-00058,Samsung 990 PRO NVMe,CUST-0280,53,230.62,12222.86,2024-05-11,Net 30,WH-EAST-01,High
ORD-00059,Elgato Stream Deck,CUST-0035,140,486.54,68115.6,2025-11-04,Net 30,WH-INTL-01,Low
ORD-00060,Asus ROG Zephyrus G14,CUST-0103,179,47.75,8547.25,2025-01-28,Purchase Order,WH-INTL-02,High
ORD-00061,Bose QuietComfort Ultra,CUST-0275,79,239.09,18888.11,2025-02-14,Purchase Order,WH-SOUTH-01,Low
ORD-00062,Apple iPhone 15,CUST-0228,84,262.5,22050.0,2025-11-26,Cash on Delivery,WH-CENTRAL-01,Critical
ORD-00063,NZXT Kraken Elite,CUST-0228,174,275.37,47914.38,2024-07-16,Wire Transfer,WH-WEST-02,Critical
ORD-00064,Secretlab Titan EVO,CUST-0294,13,421.31,5477.03,2024-05-02,Wire Transfer,WH-SOUTH-01,Low
ORD-00065,Xbox Series X,CUST-0215,103,74.88,7712.64,2025-01-28,Purchase Order,WH-CENTRAL-02,High
ORD-00066,Samsung Odyssey G9,CUST-0170,176,258.22,45446.72,2025-04-05,Net 30,WH-INTL-01,Critical
ORD-00067,iPad Pro 12.9,CUST-0253,84,378.29,31776.36,2024-11-26,Purchase Order,WH-EAST-02,Medium
ORD-00068,NZXT Kraken Elite,CUST-0004,121,221.17,26761.57,2024-09-17,Credit Card,WH-SOUTH-01,Critical
ORD-00069,Sony PlayStation 5,CUST-0272,134,395.58,53007.72,2024-12-11,Wire Transfer,WH-CENTRAL-01,Low
ORD-00070,iPad Pro 12.9,CUST-0131,19,213.21,4050.99,2024-12-31,Purchase Order,WH-EAST-02,Medium
ORD-00071,Samsung Odyssey G9,CUST-0036,66,432.17,28523.22,2024-06-28,Cash on Delivery,WH-INTL-02,Critical
ORD-00072,MacBook Pro 14,CUST-0104,2,80.42,160.84,2024-10-30,Wire Transfer,WH-INTL-01,Critical
ORD-00073,AirPods Pro Gen 2,CUST-0120,110,18.32,2015.2,2025-07-01,Purchase Order,WH-NORTH-01,Low
ORD-00074,GoPro HERO12 Black,CUST-0210,116,19.74,2289.84,2024-03-06,Wire Transfer,WH-EAST-01,High
ORD-00075,NVIDIA RTX 4090,CUST-0211,40,458.99,18359.6,2024-10-01,Credit Card,WH-WEST-01,Low
ORD-00076,Razer DeathAdder V3,CUST-0274,86,368.35,31678.1,2025-12-11,Wire Transfer,WH-EAST-01,High
ORD-00077,Bose QuietComfort Ultra,CUST-0007,55,141.87,7802.85,2024-03-11,Cash on Delivery,WH-SOUTH-01,Low
ORD-00078,MacBook Pro 14,CUST-0295,122,302.22,36870.84,2025-09-13,Net 30,WH-WEST-01,High
ORD-00079,Xbox Series X,CUST-0108,40,282.07,11282.8,2024-12-10,Purchase Order,WH-SOUTH-01,High
ORD-00080,Samsung Galaxy S24,CUST-0022,4,156.42,625.68,2025-06-23,Net 30,WH-WEST-02,High
ORD-00081,Elgato Stream Deck,CUST-0261,193,348.74,67306.82,2025-01-21,Credit Card,WH-INTL-02,High
ORD-00082,GoPro HERO12 Black,CUST-0294,164,323.19,53003.16,2025-05-25,Purchase Order,WH-EAST-01,High
ORD-00083,Secretlab Titan EVO,CUST-0072,161,383.02,61666.22,2025-08-21,Net 30,WH-EAST-01,Medium
ORD-00084,Samsung 990 PRO NVMe,CUST-0023,65,142.43,9257.95,2025-09-23,Wire Transfer,WH-EAST-02,High
ORD-00085,LG C3 OLED TV,CUST-0171,154,487.73,75110.42,2025-06-27,Cash on Delivery,WH-CENTRAL-01,Low
ORD-00086,LG C3 OLED TV,CUST-0021,49,423.75,20763.75,2025-04-24,Wire Transfer,WH-EAST-02,Critical
ORD-00087,Razer DeathAdder V3,CUST-0224,118,240.87,28422.66,2025-11-11,Net 30,WH-CENTRAL-02,High
ORD-00088,NVIDIA RTX 4090,CUST-0218,169,161.29,27258.01,2024-04-26,Purchase Order,WH-INTL-01,Medium
ORD-00089,AirPods Pro Gen 2,CUST-0067,1,255.42,255.42,2024-07-25,Cash on Delivery,WH-CENTRAL-02,Critical
ORD-00090,Samsung Odyssey G9,CUST-0055,132,404.93,53450.76,2025-12-14,Cash on Delivery,WH-SOUTH-01,Medium
ORD-00091,DJI Mini 4 Pro,CUST-0220,166,385.56,64002.96,2024-09-07,Credit Card,WH-CENTRAL-02,Critical
ORD-00092,Sony WH-1000XM5,CUST-0216,194,147.18,28552.92,2025-09-29,Net 30,WH-CENTRAL-01,Medium
ORD-00093,NZXT Kraken Elite,CUST-0197,114,104.31,11891.34,2024-04-11,Net 30,WH-WEST-01,Medium
ORD-00094,Kindle Paperwhite,CUST-0191,165,458.23,75607.95,2025-11-03,Credit Card,WH-INTL-01,Low
ORD-00095,Elgato Stream Deck,CUST-0076,139,255.32,35489.48,2025-04-24,Net 30,WH-CENTRAL-02,High
ORD-00096,Razer DeathAdder V3,CUST-0012,80,213.02,17041.6,2025-07-30,Net 30,WH-WEST-01,Medium
ORD-00097,GoPro HERO12 Black,CUST-0243,118,365.22,43095.96,2024-05-16,Credit Card,WH-NORTH-01,Low
ORD-00098,Apple iPhone 15,CUST-0294,44,121.72,5355.68,2024-06-04,Credit Card,WH-EAST-01,Critical
ORD-00099,Apple Watch Series 9,CUST-0278,70,437.73,30641.1,2024-11-19,Net 30,WH-EAST-01,High
ORD-00100,Apple Watch Series 9,CUST-0133,115,294.65,33884.75,2025-04-22,Credit Card,WH-NORTH-01,Critical
ORD-00101,Bose QuietComfort Ultra,CUST-0269,81,163.8,13267.8,2025-05-23,Credit Card,WH-INTL-01,Low
ORD-00102,NVIDIA RTX 4090,CUST-0034,192,112.96,21688.32,2025-04-08,Purchase Order,WH-INTL-02,Low
ORD-00103,Razer DeathAdder V3,CUST-0298,127,305.24,38765.48,2024-11-24,Purchase Order,WH-CENTRAL-02,Critical
ORD-00104,AMD Ryzen 9 7950X,CUST-0259,104,415.12,43172.48,2024-06-20,Purchase Order,WH-INTL-01,Critical
ORD-00105,MacBook Pro 14,CUST-0080,53,267.31,14167.43,2025-02-24,Credit Card,WH-NORTH-01,Critical
ORD-00106,Keychron Q1 Pro,CUST-0056,39,126.52,4934.28,2024-03-22,Wire Transfer,WH-EAST-02,Low
ORD-00107,Razer DeathAdder V3,CUST-0280,86,371.73,31968.78,2025-10-09,Credit Card,WH-WEST-01,Critical
ORD-00108,AirPods Pro Gen 2,CUST-0069,196,58.16,11399.36,2025-11-02,Credit Card,WH-NORTH-01,Low
ORD-00109,MacBook Pro 14,CUST-0019,100,360.48,36048.0,2025-02-15,Credit Card,WH-EAST-01,Critical
ORD-00110,AirPods Pro Gen 2,CUST-0076,34,117.53,3996.02,2025-08-23,Cash on Delivery,WH-INTL-01,Medium
ORD-00111,GoPro HERO12 Black,CUST-0115,142,307.28,43633.76,2025-01-31,Purchase Order,WH-INTL-01,Critical
ORD-00112,Sony WH-1000XM5,CUST-0024,78,307.66,23997.48,2025-11-08,Wire Transfer,WH-CENTRAL-02,Low
ORD-00113,NVIDIA RTX 4090,CUST-0212,126,170.67,21504.42,2025-03-06,Cash on Delivery,WH-WEST-02,Medium
ORD-00114,NZXT Kraken Elite,CUST-0250,91,348.35,31699.85,2024-12-12,Net 30,WH-WEST-02,Low
ORD-00115,AMD Ryzen 9 7950X,CUST-0052,169,450.41,76119.29,2024-06-23,Purchase Order,WH-CENTRAL-02,High
ORD-00116,AirPods Pro Gen 2,CUST-0163,11,343.86,3782.46,2025-10-09,Net 30,WH-EAST-01,High
ORD-00117,Corsair RM850x PSU,CUST-0114,165,55.87,9218.55,2024-05-10,Cash on Delivery,WH-CENTRAL-01,High
ORD-00118,NVIDIA RTX 4090,CUST-0276,12,162.48,1949.76,2024-09-26,Wire Transfer,WH-EAST-02,Low
ORD-00119,Corsair RM850x PSU,CUST-0027,17,161.2,2740.4,2024-11-14,Credit Card,WH-WEST-01,Medium
ORD-00120,AMD Ryzen 9 7950X,CUST-0206,83,426.91,35433.53,2025-10-25,Cash on Delivery,WH-NORTH-01,Low
ORD-00121,Logitech MX Master 3S,CUST-0274,161,377.53,60782.33,2024-11-28,Cash on Delivery,WH-EAST-02,Low
ORD-00122,MacBook Pro 14,CUST-0231,164,224.58,36831.12,2025-08-19,Cash on Delivery,WH-NORTH-01,Low
ORD-00123,Elgato Stream Deck,CUST-0137,60,323.02,19381.2,2024-05-25,Purchase Order,WH-SOUTH-01,High
ORD-00124,Bose QuietComfort Ultra,CUST-0151,106,488.4,51770.4,2024-09-26,Credit Card,WH-WEST-02,Critical
ORD-00125,Kindle Paperwhite,CUST-0222,77,409.06,31497.62,2025-03-13,Wire Transfer,WH-WEST-01,High
ORD-00126,NVIDIA RTX 4090,CUST-0107,56,381.61,21370.16,2025-05-06,Credit Card,WH-CENTRAL-02,Critical
ORD-00127,DJI Mini 4 Pro,CUST-0076,116,356.15,41313.4,2025-01-09,Net 30,WH-WEST-02,Low
ORD-00128,AirPods Pro Gen 2,CUST-0107,101,481.25,48606.25,2025-06-05,Credit Card,WH-WEST-01,Low
ORD-00129,Apple Watch Series 9,CUST-0156,144,190.46,27426.24,2024-12-05,Wire Transfer,WH-WEST-02,Medium
ORD-00130,MacBook Pro 14,CUST-0191,77,54.33,4183.41,2024-06-28,Credit Card,WH-INTL-01,High
ORD-00131,GoPro HERO12 Black,CUST-0299,190,134.6,25574.0,2025-10-03,Net 30,WH-SOUTH-01,Low
ORD-00132,Dell XPS 15,CUST-0197,54,156.95,8475.3,2025-04-22,Net 30,WH-CENTRAL-01,Critical
ORD-00133,Asus ROG Zephyrus G14,CUST-0294,187,69.94,13078.78,2024-06-29,Purchase Order,WH-INTL-01,High
ORD-00134,Corsair RM850x PSU,CUST-0138,22,461.57,10154.54,2025-10-27,Cash on Delivery,WH-EAST-02,Critical
ORD-00135,NZXT Kraken Elite,CUST-0083,114,11.44,1304.16,2024-03-06,Wire Transfer,WH-EAST-02,Low
ORD-00136,Samsung 990 PRO NVMe,CUST-0147,145,280.39,40656.55,2025-02-18,Credit Card,WH-WEST-02,High
ORD-00137,Apple Watch Series 9,CUST-0030,171,244.96,41888.16,2024-10-07,Cash on Delivery,WH-CENTRAL-01,Medium
ORD-00138,Elgato Stream Deck,CUST-0014,125,407.32,50915.0,2025-12-11,Wire Transfer,WH-INTL-02,Medium
ORD-00139,Samsung 990 PRO NVMe,CUST-0124,104,151.42,15747.68,2025-07-02,Wire Transfer,WH-EAST-01,Medium
ORD-00140,Samsung Galaxy S24,CUST-0016,163,180.46,29414.98,2025-03-10,Cash on Delivery,WH-INTL-02,Critical
ORD-00141,Nintendo Switch OLED,CUST-0097,48,67.12,3221.76,2025-12-25,Net 30,WH-SOUTH-01,Critical
ORD-00142,Keychron Q1 Pro,CUST-0213,32,303.89,9724.48,2025-04-15,Net 30,WH-SOUTH-01,Low
ORD-00143,Asus ROG Zephyrus G14,CUST-0202,36,498.72,17953.92,2024-01-02,Wire Transfer,WH-CENTRAL-01,Medium
ORD-00144,Logitech MX Master 3S,CUST-0066,35,398.78,13957.3,2024-02-02,Wire Transfer,WH-WEST-02,High
ORD-00145,Kindle Paperwhite,CUST-0107,151,276.67,41777.17,2025-09-20,Net 30,WH-SOUTH-01,Medium
ORD-00146,Asus ROG Zephyrus G14,CUST-0009,125,185.46,23182.5,2025-03-07,Credit Card,WH-NORTH-01,Critical
ORD-00147,Samsung 990 PRO NVMe,CUST-0156,19,170.42,3237.98,2025-09-21,Purchase Order,WH-SOUTH-01,Low
ORD-00148,DJI Mini 4 Pro,CUST-0109,76,23.18,1761.68,2024-10-07,Wire Transfer,WH-CENTRAL-02,Low
ORD-00149,Samsung Galaxy S24,CUST-0185,78,427.22,33323.16,2025-04-13,Net 30,WH-CENTRAL-01,Medium
ORD-00150,Keychron Q1 Pro,CUST-0127,14,63.92,894.88,2025-01-20,Net 30,WH-WEST-01,Critical
ORD-00151,Dell XPS 15,CUST-0183,18,288.13,5186.34,2024-08-11,Net 30,WH-INTL-02,High
ORD-00152,Samsung 990 PRO NVMe,CUST-0094,150,381.39,57208.5,2024-12-30,Net 30,WH-NORTH-01,Critical
ORD-00153,Secretlab Titan EVO,CUST-0014,24,156.33,3751.92,2024-09-26,Wire Transfer,WH-INTL-01,High
ORD-00154,Google Pixel 8 Pro,CUST-0176,46,374.05,17206.3,2024-01-03,Credit Card,WH-WEST-02,High
ORD-00155,Razer DeathAdder V3,CUST-0205,175,135.35,23686.25,2024-10-22,Net 30,WH-WEST-01,Medium
ORD-00156,NZXT Kraken Elite,CUST-0154,138,122.06,16844.28,2025-06-30,Net 30,WH-WEST-02,Medium
ORD-00157,Samsung Odyssey G9,CUST-0194,65,463.32,30115.8,2024-03-08,Credit Card,WH-CENTRAL-02,Critical
ORD-00158,LG C3 OLED TV,CUST-0184,149,416.43,62048.07,2024-10-26,Credit Card,WH-EAST-02,High
ORD-00159,NVIDIA RTX 4090,CUST-0239,151,234.41,35395.91,2025-12-14,Cash on Delivery,WH-CENTRAL-02,Medium
ORD-00160,NZXT Kraken Elite,CUST-0149,35,438.68,15353.8,2024-03-06,Credit Card,WH-INTL-02,High
ORD-00161,Samsung 990 PRO NVMe,CUST-0223,63,226.0,14238.0,2024-10-19,Net 30,WH-EAST-02,Medium
ORD-00162,iPad Pro 12.9,CUST-0258,179,268.88,48129.52,2024-02-23,Credit Card,WH-EAST-01,Low
ORD-00163,GoPro HERO12 Black,CUST-0044,138,245.41,33866.58,2025-12-14,Purchase Order,WH-WEST-02,Low
ORD-00164,Samsung Odyssey G9,CUST-0118,24,469.78,11274.72,2024-11-28,Net 30,WH-NORTH-01,Critical
ORD-00165,Dell XPS 15,CUST-0008,162,60.9,9865.8,2024-06-23,Net 30,WH-INTL-01,Low
ORD-00166,Echo Dot 5th Gen,CUST-0208,117,57.69,6749.73,2025-07-15,Cash on Delivery,WH-CENTRAL-02,Critical
ORD-00167,Sony WH-1000XM5,CUST-0028,33,172.03,5676.99,2024-11-04,Net 30,WH-INTL-01,Low
ORD-00168,Apple iPhone 15,CUST-0102,110,412.76,45403.6,2024-05-26,Wire Transfer,WH-EAST-02,High
ORD-00169,AMD Ryzen 9 7950X,CUST-0007,46,356.3,16389.8,2024-09-26,Net 30,WH-EAST-01,Low
ORD-00170,NVIDIA RTX 4090,CUST-0222,50,36.57,1828.5,2024-07-08,Purchase Order,WH-CENTRAL-02,Low
ORD-00171,LG C3 OLED TV,CUST-0087,84,458.6,38522.4,2025-11-22,Purchase Order,WH-EAST-02,Low
ORD-00172,Sony PlayStation 5,CUST-0246,40,23.38,935.2,2024-10-23,Credit Card,WH-EAST-02,High
ORD-00173,Bose QuietComfort Ultra,CUST-0290,66,166.68,11000.88,2024-03-18,Wire Transfer,WH-EAST-01,Low
ORD-00174,AMD Ryzen 9 7950X,CUST-0266,109,447.49,48776.41,2025-02-15,Wire Transfer,WH-WEST-01,Medium
ORD-00175,Google Pixel 8 Pro,CUST-0119,72,28.31,2038.32,2024-05-19,Cash on Delivery,WH-WEST-01,Medium
ORD-00176,Keychron Q1 Pro,CUST-0072,46,33.12,1523.52,2025-11-11,Credit Card,WH-EAST-02,Low
ORD-00177,Samsung Odyssey G9,CUST-0274,30,381.5,11445.0,2024-03-18,Purchase Order,WH-WEST-02,Medium
ORD-00178,Samsung 990 PRO NVMe,CUST-0090,26,104.3,2711.8,2025-08-12,Purchase Order,WH-WEST-01,Critical
ORD-00179,Asus ROG Zephyrus G14,CUST-0131,55,87.58,4816.9,2024-04-29,Purchase Order,WH-SOUTH-01,High
ORD-00180,DJI Mini 4 Pro,CUST-0257,33,116.12,3831.96,2024-12-07,Net 30,WH-CENTRAL-01,High
ORD-00181,NZXT Kraken Elite,CUST-0089,114,219.82,25059.48,2025-09-16,Purchase Order,WH-INTL-02,Critical
ORD-00182,Asus ROG Zephyrus G14,CUST-0028,50,141.14,7057.0,2025-03-15,Cash on Delivery,WH-CENTRAL-02,Medium
ORD-00183,Apple iPhone 15,CUST-0243,193,232.37,44847.41,2025-03-23,Wire Transfer,WH-CENTRAL-01,High
ORD-00184,GoPro HERO12 Black,CUST-0183,160,241.23,38596.8,2024-06-30,Net 30,WH-EAST-02,High
ORD-00185,Keychron Q1 Pro,CUST-0190,46,498.67,22938.82,2025-12-05,Purchase Order,WH-INTL-02,Low
ORD-00186,Keychron Q1 Pro,CUST-0081,125,384.37,48046.25,2024-09-30,Purchase Order,WH-WEST-02,Low
ORD-00187,Xbox Series X,CUST-0137,107,214.08,22906.56,2025-09-26,Net 30,WH-CENTRAL-02,Medium
ORD-00188,Apple Watch Series 9,CUST-0190,104,426.01,44305.04,2024-09-12,Wire Transfer,WH-CENTRAL-01,Critical
ORD-00189,Asus ROG Zephyrus G14,CUST-0163,196,202.97,39782.12,2024-10-04,Wire Transfer,WH-CENTRAL-02,Medium
ORD-00190,Apple Watch Series 9,CUST-0209,149,352.38,52504.62,2025-07-28,Wire Transfer,WH-INTL-02,High
ORD-00191,Nintendo Switch OLED,CUST-0199,40,151.92,6076.8,2024-09-12,Net 30,WH-INTL-02,Medium
ORD-00192,Kindle Paperwhite,CUST-0081,27,175.99,4751.73,2024-10-31,Net 30,WH-SOUTH-01,Medium
ORD-00193,Google Pixel 8 Pro,CUST-0139,141,466.3,65748.3,2025-10-02,Wire Transfer,WH-CENTRAL-01,Critical
ORD-00194,Sony PlayStation 5,CUST-0127,85,255.1,21683.5,2025-07-15,Cash on Delivery,WH-EAST-01,Critical
ORD-00195,LG C3 OLED TV,CUST-0152,101,368.06,37174.06,2024-04-13,Cash on Delivery,WH-NORTH-01,Medium
ORD-00196,AirPods Pro Gen 2,CUST-0280,156,378.5,59046.0,2025-09-22,Credit Card,WH-SOUTH-01,Low
ORD-00197,NVIDIA RTX 4090,CUST-0043,58,340.17,19729.86,2024-12-28,Credit Card,WH-SOUTH-01,Medium
ORD-00198,GoPro HERO12 Black,CUST-0012,119,53.31,6343.89,2025-12-12,Net 30,WH-WEST-02,Critical
ORD-00199,Apple Watch Series 9,CUST-0086,98,38.88,3810.24,2024-05-13,Credit Card,WH-EAST-02,High
ORD-00200,Corsair RM850x PSU,CUST-0284,158,217.57,34376.06,2025-07-03,Credit Card,WH-INTL-01,Medium
ORD-00201,AMD Ryzen 9 7950X,CUST-0061,188,144.8,27222.4,2025-01-30,Wire Transfer,WH-EAST-02,High
ORD-00202,Elgato Stream Deck,CUST-0227,51,300.16,15308.16,2025-02-11,Net 30,WH-WEST-01,High
ORD-00203,Asus ROG Zephyrus G14,CUST-0297,72,420.78,30296.16,2025-10-19,Wire Transfer,WH-SOUTH-01,High
ORD-00204,Samsung Galaxy S24,CUST-0098,193,208.68,40275.24,2024-12-18,Cash on Delivery,WH-EAST-02,Critical
ORD-00205,MacBook Pro 14,CUST-0154,192,466.07,89485.44,2024-05-22,Credit Card,WH-WEST-02,Critical
ORD-00206,Apple iPhone 15,CUST-0041,68,257.76,17527.68,2025-08-09,Credit Card,WH-WEST-01,Critical
ORD-00207,Bose QuietComfort Ultra,CUST-0236,99,362.12,35849.88,2025-12-20,Credit Card,WH-INTL-02,Critical
ORD-00208,Apple iPhone 15,CUST-0282,173,22.53,3897.69,2025-04-07,Wire Transfer,WH-WEST-02,High
ORD-00209,Xbox Series X,CUST-0200,154,64.36,9911.44,2024-08-13,Credit Card,WH-WEST-01,High
ORD-00210,AirPods Pro Gen 2,CUST-0127,8,65.66,525.28,2025-08-07,Cash on Delivery,WH-INTL-02,High
ORD-00211,Kindle Paperwhite,CUST-0100,9,383.1,3447.9,2025-08-22,Wire Transfer,WH-WEST-02,High
ORD-00212,Apple iPhone 15,CUST-0215,56,243.36,13628.16,2024-10-05,Net 30,WH-WEST-02,High
ORD-00213,Logitech MX Master 3S,CUST-0289,26,147.91,3845.66,2025-06-30,Cash on Delivery,WH-CENTRAL-01,Low
ORD-00214,Corsair RM850x PSU,CUST-0111,19,433.84,8242.96,2024-03-04,Credit Card,WH-EAST-02,High
ORD-00215,NZXT Kraken Elite,CUST-0145,24,60.83,1459.92,2025-07-11,Cash on Delivery,WH-INTL-02,Low
ORD-00216,Samsung 990 PRO NVMe,CUST-0083,13,425.73,5534.49,2024-01-26,Credit Card,WH-WEST-01,Critical
ORD-00217,Razer DeathAdder V3,CUST-0017,31,208.06,6449.86,2025-03-03,Credit Card,WH-INTL-02,Low
