inventory_id,product_id,product_name,category,warehouse_id,supplier_id,quantity_on_hand,reorder_point,unit_price,last_restock_date,stock_status
INV-00046,AirPods Pro Gen 2,AirPods Pro Gen 2,Raw Materials,WH-INTL-02,SUP-0074,2979,457,93.0,2024-05-11,In Stock
INV-00047,Keychron Q1 Pro,Keychron Q1 Pro,Packaging,WH-CENTRAL-02,SUP-0007,972,92,72.38,2024-01-07,In Stock
INV-00048,Elgato Stream Deck,Elgato Stream Deck,Electrical,WH-CENTRAL-01,SUP-0096,322,71,321.39,2025-08-23,In Stock
INV-00049,DJI Mini 4 Pro,DJI Mini 4 Pro,Sensors,WH-WEST-01,SUP-0165,1901,87,439.3,2024-04-28,In Stock
INV-00050,Corsair RM850x PSU,Corsair RM850x PSU,Raw Materials,WH-EAST-02,SUP-0054,2670,494,7.76,2024-12-14,In Stock
INV-00051,Google Pixel 8 Pro,Google Pixel 8 Pro,Sensors,WH-SOUTH-01,SUP-0143,276,317,370.39,2025-11-29,Low Stock
INV-00052,Nintendo Switch OLED,Nintendo Switch OLED,Assemblies,WH-INTL-01,SUP-0135,2325,205,310.37,2025-01-30,In Stock
INV-00053,Echo Dot 5th Gen,Echo Dot 5th Gen,Safety Equipment,WH-WEST-02,SUP-0109,4019,123,227.26,2025-10-14,In Stock
INV-00054,Corsair RM850x PSU,Corsair RM850x PSU,Assemblies,WH-SOUTH-01,SUP-0039,3613,418,374.72,2024-05-12,In Stock
INV-00055,AMD Ryzen 9 7950X,AMD Ryzen 9 7950X,Electrical,WH-CENTRAL-02,SUP-0074,4221,428,108.53,2024-03-12,In Stock
INV-00056,Xbox Series X,Xbox Series X,Electrical,WH-INTL-01,SUP-0028,1789,462,369.84,2024-07-13,In Stock
INV-00057,Samsung 990 PRO NVMe,Samsung 990 PRO NVMe,Sensors,WH-INTL-02,SUP-0037,515,114,439.94,2025-10-22,In Stock
INV-00058,Apple iPhone 15,Apple iPhone 15,Mechanical,WH-EAST-01,SUP-0097,2497,369,370.46,2024-04-02,In Stock
INV-00059,Xbox Series X,Xbox Series X,Assemblies,WH-NORTH-01,SUP-0041,2004,262,105.96,2025-07-20,In Stock
INV-00060,iPad Pro 12.9,iPad Pro 12.9,Electrical,WH-NORTH-01,SUP-0104,2826,62,261.75,2024-03-30,In Stock
INV-00061,GoPro HERO12 Black,GoPro HERO12 Black,Electrical,WH-CENTRAL-02,SUP-0123,3735,140,234.81,2024-09-23,In Stock
INV-00062,Asus ROG Zephyrus G14,Asus ROG Zephyrus G14,Assemblies,WH-NORTH-01,SUP-0035,2975,337,192.56,2025-08-07,In Stock
INV-00063,Samsung Galaxy S24,Samsung Galaxy S24,Mechanical,WH-INTL-01,SUP-0199,2665,122,428.17,2025-04-09,In Stock
INV-00064,Sony WH-1000XM5,Sony WH-1000XM5,Mechanical,WH-SOUTH-01,SUP-0014,4536,173,276.94,2024-07-05,In Stock
INV-00065,Bose QuietComfort Ultra,Bose QuietComfort Ultra,Safety Equipment,WH-WEST-01,SUP-0017,3600,111,231.3,2024-08-08,In Stock
INV-00066,Apple Watch Series 9,Apple Watch Series 9,Sensors,WH-INTL-02,SUP-0168,3628,453,293.36,2024-07-09,In Stock
INV-00067,Samsung 990 PRO NVMe,Samsung 990 PRO NVMe,Electrical,WH-WEST-01,SUP-0040,239,216,290.44,2025-08-03,In Stock
INV-00068,Secretlab Titan EVO,Secretlab Titan EVO,Packaging,WH-WEST-01,SUP-0026,1753,429,367.74,2024-11-30,In Stock
INV-00069,GoPro HERO12 Black,GoPro HERO12 Black,Assemblies,WH-WEST-02,SUP-0142,4793,88,277.58,2024-08-30,In Stock
INV-00070,Elgato Stream Deck,Elgato Stream Deck,Raw Materials,WH-WEST-02,SUP-0148,1364,216,428.57,2025-07-07,In Stock
INV-00071,Apple Watch Series 9,Apple Watch Series 9,Assemblies,WH-CENTRAL-01,SUP-0107,2623,334,65.47,2025-10-22,In Stock
INV-00072,iPad Pro 12.9,iPad Pro 12.9,Electrical,WH-SOUTH-01,SUP-0075,4039,162,127.33,2024-01-21,In Stock
INV-00073,Echo Dot 5th Gen,Echo Dot 5th Gen,Assemblies,WH-INTL-02,SUP-0199,2724,183,251.57,2024-04-29,In Stock
INV-00074,MacBook Pro 14,MacBook Pro 14,Safety Equipment,WH-EAST-01,SUP-0048,3660,359,287.67,2025-03-26,In Stock
INV-00075,Sony PlayStation 5,Sony PlayStation 5,Raw Materials,WH-WEST-02,SUP-0171,1327,78,451.03,2025-04-24,In Stock
INV-00076,Razer DeathAdder V3,Razer DeathAdder V3,Mechanical,WH-WEST-02,SUP-0126,4317,304,355.42,2024-11-30,In Stock
INV-00077,Dell XPS 15,Dell XPS 15,Sensors,WH-WEST-01,SUP-0039,4747,335,18.9,2025-11-22,In Stock
INV-00078,Razer DeathAdder V3,Razer DeathAdder V3,Raw Materials,WH-SOUTH-01,SUP-0187,807,118,396.34,2024-02-25,In Stock
INV-00079,LG C3 OLED TV,LG C3 OLED TV,Electronics,WH-EAST-01,SUP-0068,1543,138,381.69,2025-05-15,In Stock
INV-00080,Kindle Paperwhite,Kindle Paperwhite,Safety Equipment,WH-CENTRAL-02,SUP-0176,3814,315,109.24,2025-12-22,In Stock
INV-00081,Elgato Stream Deck,Elgato Stream Deck,Raw Materials,WH-WEST-01,SUP-0061,3049,391,320.53,2025-02-07,In Stock
INV-00082,Secretlab Titan EVO,Secretlab Titan EVO,Electronics,WH-WEST-02,SUP-0005,498,458,142.67,2024-11-05,In Stock
INV-00083,Samsung Odyssey G9,Samsung Odyssey G9,Mechanical,WH-INTL-02,SUP-0147,3177,380,163.76,2025-04-16,In Stock
INV-00084,Sony PlayStation 5,Sony PlayStation 5,Electrical,WH-WEST-02,SUP-0187,2841,477,287.41,2024-04-05,In Stock
INV-00085,Apple iPhone 15,Apple iPhone 15,Electrical,WH-INTL-02,SUP-0192,1222,379,177.38,2024-01-25,In Stock
INV-00086,Sony PlayStation 5,Sony PlayStation 5,Safety Equipment,WH-CENTRAL-01,SUP-0168,2480,151,434.59,2025-06-07,In Stock
INV-00087,Apple Watch Series 9,Apple Watch Series 9,Sensors,WH-EAST-01,SUP-0148,464,363,210.71,2025-04-26,In Stock
INV-00088,Sony PlayStation 5,Sony PlayStation 5,Safety Equipment,WH-EAST-02,SUP-0156,1723,401,483.87,2024-05-28,In Stock
INV-00089,Sony WH-1000XM5,Sony WH-1000XM5,Electrical,WH-WEST-01,SUP-0030,396,374,107.59,2024-04-30,In Stock
INV-00090,NZXT Kraken Elite,NZXT Kraken Elite,Safety Equipment,WH-WEST-01,SUP-0014,3771,259,62.01,2025-11-20,In Stock
INV-00091,Sony PlayStation 5,Sony PlayStation 5,Packaging,WH-SOUTH-01,SUP-0027,949,107,69.1,2024-07-04,In Stock
INV-00092,Samsung Galaxy S24,Samsung Galaxy S24,Electronics,WH-NORTH-01,SUP-0035,990,366,362.88,2025-11-08,In Stock
INV-00093,Asus ROG Zephyrus G14,Asus ROG Zephyrus G14,Safety Equipment,WH-WEST-02,SUP-0051,4334,439,463.11,2024-08-07,In Stock
INV-00094,Samsung Galaxy S24,Samsung Galaxy S24,Sensors,WH-SOUTH-01,SUP-0098,2405,342,171.97,2025-07-03,In Stock
INV-00095,Apple iPhone 15,Apple iPhone 15,Assemblies,WH-INTL-01,SUP-0027,1465,283,79.07,2024-10-15,In Stock
INV-00096,MacBook Pro 14,MacBook Pro 14,Assemblies,WH-EAST-01,SUP-0143,822,96,343.11,2025-10-02,In Stock
INV-00097,Xbox Series X,Xbox Series X,Electronics,WH-INTL-02,SUP-0171,1151,222,166.69,2024-05-17,In Stock
INV-00098,Dell XPS 15,Dell XPS 15,Packaging,WH-WEST-01,SUP-0005,4885,196,420.8,2025-08-28,In Stock
INV-00099,Apple Watch Series 9,Apple Watch Series 9,Packaging,WH-EAST-02,SUP-0190,3004,229,369.31,2024-01-02,In Stock
INV-00100,Corsair RM850x PSU,Corsair RM850x PSU,Raw Materials,WH-WEST-01,SUP-0200,1758,416,348.81,2025-05-23,In Stock
INV-00101,Samsung 990 PRO NVMe,Samsung 990 PRO NVMe,Mechanical,WH-WEST-02,SUP-0117,139,447,63.73,2024-10-09,Low Stock
INV-00102,Apple Watch Series 9,Apple Watch Series 9,Raw Materials,WH-INTL-01,SUP-0094,3472,233,196.75,2024-05-13,In Stock
INV-00103,Apple Watch Series 9,Apple Watch Series 9,Mechanical,WH-WEST-01,SUP-0007,221,182,74.72,2025-05-08,In Stock
INV-00104,Secretlab Titan EVO,Secretlab Titan EVO,Mechanical,WH-CENTRAL-02,SUP-0158,440,266,85.17,2024-08-24,In Stock
INV-00105,LG C3 OLED TV,LG C3 OLED TV,Electronics,WH-WEST-01,SUP-0154,4053,192,311.62,2025-03-29,In Stock
INV-00106,Asus ROG Zephyrus G14,Asus ROG Zephyrus G14,Packaging,WH-INTL-02,SUP-0006,699,270,209.11,2024-05-13,In Stock
INV-00107,Dell XPS 15,Dell XPS 15,Mechanical,WH-CENTRAL-02,SUP-0082,2305,321,134.23,2024-06-11,In Stock
INV-00108,Samsung 990 PRO NVMe,Samsung 990 PRO NVMe,Assemblies,WH-EAST-01,SUP-0064,62,163,34.03,2024-01-18,Low Stock
INV-00109,Kindle Paperwhite,Kindle Paperwhite,Safety Equipment,WH-INTL-02,SUP-0197,2975,257,321.72,2025-01-12,In Stock
INV-00110,AirPods Pro Gen 2,AirPods Pro Gen 2,Mechanical,WH-CENTRAL-02,SUP-0114,2525,368,297.11,2024-12-22,In Stock
INV-00111,AMD Ryzen 9 7950X,AMD Ryzen 9 7950X,Electrical,WH-WEST-02,SUP-0065,2335,267,242.39,2024-04-18,In Stock
INV-00112,Dell XPS 15,Dell XPS 15,Packaging,WH-EAST-01,SUP-0029,2057,286,26.84,2024-03-01,In Stock
INV-00113,Razer DeathAdder V3,Razer DeathAdder V3,Mechanical,WH-EAST-01,SUP-0054,970,458,18.19,2025-02-26,In Stock
INV-00114,LG C3 OLED TV,LG C3 OLED TV,Safety Equipment,WH-SOUTH-01,SUP-0071,1882,101,382.9,2024-04-02,In Stock
INV-00115,Google Pixel 8 Pro,Google Pixel 8 Pro,Electronics,WH-INTL-01,SUP-0004,1326,266,260.84,2025-11-17,In Stock
INV-00116,AMD Ryzen 9 7950X,AMD Ryzen 9 7950X,Electrical,WH-INTL-02,SUP-0008,3668,104,434.87,2024-04-20,In Stock
INV-00117,NVIDIA RTX 4090,NVIDIA RTX 4090,Mechanical,WH-WEST-02,SUP-0131,498,287,26.01,2025-04-08,In Stock
INV-00118,Nintendo Switch OLED,Nintendo Switch OLED,Safety Equipment,WH-WEST-02,SUP-0086,2019,77,44.46,2024-02-18,In Stock
INV-00119,Samsung 990 PRO NVMe,Samsung 990 PRO NVMe,Assemblies,WH-NORTH-01,SUP-0077,2357,234,103.75,2025-02-14,In Stock
INV-00120,MacBook Pro 14,MacBook Pro 14,Sensors,WH-EAST-01,SUP-0005,935,410,284.74,2024-07-05,In Stock
INV-00121,AMD Ryzen 9 7950X,AMD Ryzen 9 7950X,Raw Materials,WH-NORTH-01,SUP-0110,4355,490,353.19,2025-09-02,In Stock
INV-00122,Logitech MX Master 3S,Logitech MX Master 3S,Sensors,WH-EAST-02,SUP-0144,4064,65,7.71,2024-07-22,In Stock
INV-00123,GoPro HERO12 Black,GoPro HERO12 Black,Packaging,WH-WEST-01,SUP-0113,1641,360,461.37,2025-03-23,In Stock
INV-00124,Elgato Stream Deck,Elgato Stream Deck,Electrical,WH-EAST-02,SUP-0091,3224,273,294.65,2025-06-21,In Stock
INV-00125,Samsung Odyssey G9,Samsung Odyssey G9,Safety Equipment,WH-EAST-01,SUP-0009,1132,408,33.5,2024-09-29,In Stock
INV-00126,Sony WH-1000XM5,Sony WH-1000XM5,Mechanical,WH-CENTRAL-01,SUP-0085,3398,267,315.28,2024-01-26,In Stock
INV-00127,Razer DeathAdder V3,Razer DeathAdder V3,Mechanical,WH-EAST-01,SUP-0115,555,457,296.31,2025-11-13,In Stock
INV-00128,iPad Pro 12.9,iPad Pro 12.9,Electronics,WH-EAST-01,SUP-0192,1018,179,329.28,2025-08-22,In Stock
INV-00129,Samsung Odyssey G9,Samsung Odyssey G9,Mechanical,WH-INTL-02,SUP-0194,4455,443,351.47,2025-12-25,In Stock
INV-00130,DJI Mini 4 Pro,DJI Mini 4 Pro,Electronics,WH-CENTRAL-02,SUP-0064,2208,343,335.52,2025-12-25,In Stock
INV-00131,Sony PlayStation 5,Sony PlayStation 5,Electrical,WH-EAST-01,SUP-0066,2594,451,307.23,2025-05-28,In Stock
INV-00132,Samsung Galaxy S24,Samsung Galaxy S24,Safety Equipment,WH-SOUTH-01,SUP-0156,4830,202,266.95,2025-05-19,In Stock
INV-00133,DJI Mini 4 Pro,DJI Mini 4 Pro,Mechanical,WH-WEST-02,SUP-0119,1832,381,297.21,2025-12-02,In Stock
INV-00134,Nintendo Switch OLED,Nintendo Switch OLED,Assemblies,WH-EAST-02,SUP-0106,3396,245,454.5,2024-04-11,In Stock
INV-00135,Dell XPS 15,Dell XPS 15,Assemblies,WH-EAST-01,SUP-0125,1771,298,242.55,2024-09-29,In Stock
INV-00136,Samsung Odyssey G9,Samsung Odyssey G9,Electrical,WH-CENTRAL-02,SUP-0112,1911,475,95.59,2025-12-06,In Stock
INV-00137,Xbox Series X,Xbox Series X,Assemblies,WH-INTL-02,SUP-0146,4841,354,456.42,2025-09-17,In Stock
INV-00138,iPad Pro 12.9,iPad Pro 12.9,Assemblies,WH-WEST-01,SUP-0111,120,84,424.82,2025-11-07,In Stock
INV-00139,Dell XPS 15,Dell XPS 15,Safety Equipment,WH-EAST-01,SUP-0132,215,159,233.07,2025-07-07,In Stock
INV-00140,NZXT Kraken Elite,NZXT Kraken Elite,Mechanical,WH-SOUTH-01,SUP-0015,1405,104,421.31,2025-11-07,In Stock
INV-00141,GoPro HERO12 Black,GoPro HERO12 Black,Assemblies,WH-EAST-02,SUP-0140,224,372,472.14,2024-03-26,Low Stock
INV-00142,Samsung Odyssey G9,Samsung Odyssey G9,Safety Equipment,WH-WEST-01,SUP-0029,3025,400,46.33,2025-03-31,In Stock
INV-00143,Apple iPhone 15,Apple iPhone 15,Assemblies,WH-INTL-01,SUP-0008,4403,307,408.58,2024-03-13,In Stock
INV-00144,LG C3 OLED TV,LG C3 OLED TV,Assemblies,WH-INTL-01,SUP-0036,3268,183,84.55,2024-05-03,In Stock
INV-00145,iPad Pro 12.9,iPad Pro 12.9,Sensors,WH-INTL-02,SUP-0113,2916,317,486.4,2025-01-17,In Stock
INV-00146,iPad Pro 12.9,iPad Pro 12.9,Electrical,WH-EAST-01,SUP-0007,94,326,133.45,2024-02-17,Low Stock
INV-00147,AirPods Pro Gen 2,AirPods Pro Gen 2,Safety Equipment,WH-EAST-02,SUP-0047,3885,213,421.85,2025-01-24,In Stock
INV-00148,Echo Dot 5th Gen,Echo Dot 5th Gen,Packaging,WH-EAST-02,SUP-0196,697,203,325.74,2024-03-27,In Stock
INV-00149,Secretlab Titan EVO,Secretlab Titan EVO,Safety Equipment,WH-INTL-02,SUP-0070,1292,311,396.77,2025-09-06,In Stock
INV-00150,GoPro HERO12 Black,GoPro HERO12 Black,Electrical,WH-NORTH-01,SUP-0186,3469,336,377.32,2025-08-15,In Stock
INV-00151,GoPro HERO12 Black,GoPro HERO12 Black,Electronics,WH-CENTRAL-01,SUP-0012,3908,390,296.48,2024-08-22,In Stock
INV-00152,Bose QuietComfort Ultra,Bose QuietComfort Ultra,Mechanical,WH-INTL-02,SUP-0109,965,182,60.68,2025-03-13,In Stock
INV-00153,Samsung Galaxy S24,Samsung Galaxy S24,Sensors,WH-WEST-01,SUP-0125,4049,332,145.64,2025-12-08,In Stock
INV-00154,LG C3 OLED TV,LG C3 OLED TV,Raw Materials,WH-SOUTH-01,SUP-0091,4572,164,57.97,2025-04-16,In Stock
INV-00155,Echo Dot 5th Gen,Echo Dot 5th Gen,Assemblies,WH-EAST-01,SUP-0155,3261,143,463.48,2025-12-19,In Stock
INV-00156,DJI Mini 4 Pro,DJI Mini 4 Pro,Packaging,WH-SOUTH-01,SUP-0140,2318,477,128.08,2024-09-28,In Stock
INV-00157,Secretlab Titan EVO,Secretlab Titan EVO,Assemblies,WH-NORTH-01,SUP-0131,3516,63,159.63,2024-03-07,In Stock
INV-00158,iPad Pro 12.9,iPad Pro 12.9,Raw Materials,WH-EAST-02,SUP-0099,95,128,75.46,2024-12-30,Low Stock
INV-00159,Echo Dot 5th Gen,Echo Dot 5th Gen,Packaging,WH-CENTRAL-01,SUP-0139,1991,472,275.62,2024-01-01,In Stock
INV-00160,Xbox Series X,Xbox Series X,Sensors,WH-CENTRAL-01,SUP-0137,4701,454,203.06,2025-12-14,In Stock
INV-00161,Xbox Series X,Xbox Series X,Electronics,WH-SOUTH-01,SUP-0036,1867,364,492.58,2025-02-08,In Stock
INV-00162,Google Pixel 8 Pro,Google Pixel 8 Pro,Safety Equipment,WH-INTL-02,SUP-0148,1239,435,38.73,2024-01-23,In Stock
INV-00163,Kindle Paperwhite,Kindle Paperwhite,Assemblies,WH-EAST-02,SUP-0055,519,95,499.36,2024-04-25,In Stock
INV-00164,Echo Dot 5th Gen,Echo Dot 5th Gen,Electrical,WH-WEST-02,SUP-0183,2033,233,206.65,2024-08-26,In Stock
INV-00165,Apple Watch Series 9,Apple Watch Series 9,Packaging,WH-EAST-01,SUP-0088,3892,418,97.36,2024-09-11,In Stock
INV-00166,Samsung Galaxy S24,Samsung Galaxy S24,Mechanical,WH-SOUTH-01,SUP-0086,2084,214,390.98,2025-12-18,In Stock
INV-00167,Apple iPhone 15,Apple iPhone 15,Assemblies,WH-CENTRAL-01,SUP-0127,1356,234,76.6,2024-05-07,In Stock
INV-00168,Kindle Paperwhite,Kindle Paperwhite,Raw Materials,WH-EAST-01,SUP-0050,797,269,350.02,2024-10-07,In Stock
INV-00169,Apple iPhone 15,Apple iPhone 15,Packaging,WH-EAST-02,SUP-0121,4646,263,379.02,2025-05-10,In Stock
INV-00170,Elgato Stream Deck,Elgato Stream Deck,Electrical,WH-CENTRAL-01,SUP-0153,535,445,271.43,2025-07-13,In Stock
INV-00171,DJI Mini 4 Pro,DJI Mini 4 Pro,Electronics,WH-SOUTH-01,SUP-0119,342,329,417.5,2024-05-28,In Stock
INV-00172,Nintendo Switch OLED,Nintendo Switch OLED,Safety Equipment,WH-CENTRAL-01,SUP-0106,2224,90,260.9,2024-04-17,In Stock
INV-00173,Corsair RM850x PSU,Corsair RM850x PSU,Raw Materials,WH-INTL-02,SUP-0048,1855,479,459.96,2025-10-03,In Stock
INV-00174,Sony WH-1000XM5,Sony WH-1000XM5,Packaging,WH-INTL-02,SUP-0170,2171,329,271.51,2024-09-11,In Stock
INV-00175,Bose QuietComfort Ultra,Bose QuietComfort Ultra,Safety Equipment,WH-CENTRAL-01,SUP-0130,4765,252,193.68,2024-11-15,In Stock
INV-00176,Bose QuietComfort Ultra,Bose QuietComfort Ultra,Raw Materials,WH-INTL-02,SUP-0067,739,217,489.55,2025-11-06,In Stock
INV-00177,Samsung Galaxy S24,Samsung Galaxy S24,Electrical,WH-INTL-02,SUP-0174,906,113,94.39,2025-12-04,In Stock
INV-00178,Razer DeathAdder V3,Razer DeathAdder V3,Sensors,WH-SOUTH-01,SUP-0178,3913,234,27.02,2024-04-26,In Stock
INV-00179,Sony PlayStation 5,Sony PlayStation 5,Packaging,WH-EAST-01,SUP-0059,3886,90,417.1,2025-07-04,In Stock
INV-00180,Razer DeathAdder V3,Razer DeathAdder V3,Packaging,WH-WEST-02,SUP-0108,4548,463,160.62,2025-02-24,In Stock
INV-00181,Bose QuietComfort Ultra,Bose QuietComfort Ultra,Assemblies,WH-CENTRAL-02,SUP-0096,1030,101,301.75,2025-01-23,In Stock
INV-00182,Google Pixel 8 Pro,Google Pixel 8 Pro,Electronics,WH-INTL-02,SUP-0168,62,75,327.41,2024-11-04,Low Stock
INV-00183,Corsair RM850x PSU,Corsair RM850x PSU,Assemblies,WH-WEST-01,SUP-0013,1113,202,150.19,2025-01-20,In Stock
INV-00184,Sony WH-1000XM5,Sony WH-1000XM5,Packaging,WH-SOUTH-01,SUP-0128,2244,452,208.18,2024-11-30,In Stock
INV-00185,Corsair RM850x PSU,Corsair RM850x PSU,Electrical,WH-EAST-01,SUP-0080,3570,184,160.8,2025-01-07,In Stock
INV-00186,Google Pixel 8 Pro,Google Pixel 8 Pro,Electronics,WH-INTL-02,SUP-0116,3629,224,392.35,2024-11-11,In Stock
INV-00187,Razer DeathAdder V3,Razer DeathAdder V3,Sensors,WH-INTL-01,SUP-0156,2612,163,19.3,2024-05-13,In Stock
INV-00188,Samsung Odyssey G9,Samsung Odyssey G9,Packaging,WH-SOUTH-01,SUP-0034,3027,182,427.87,2024-07-07,In Stock
INV-00189,Razer DeathAdder V3,Razer DeathAdder V3,Assemblies,WH-EAST-01,SUP-0028,3430,222,201.26,2024-12-08,In Stock
