shipment_id,order_id,supplier_id,ship_date,estimated_delivery,actual_delivery,delivery_status,delivery_delay_days,carrier,shipping_cost
SHP-00032,ORD-00369,SUP-0031,2025-01-13,2025-01-26,,Pending,,BlueDart,58.12
SHP-00033,ORD-00917,SUP-0151,2024-05-31,2024-06-13,,Pending,,DTDC,203.8
SHP-00034,ORD-00989,SUP-0010,2025-09-02,2025-09-13,,Delayed,,Delhivery,125.9
SHP-00035,ORD-01456,SUP-0154,2024-10-18,2024-10-25,,Pending,,Ecom Express,139.12
SHP-00036,ORD-00636,SUP-0068,2025-08-05,2025-08-14,,Delayed,,Safexpress,212.14
SHP-00037,ORD-00217,SUP-0051,2025-03-22,2025-03-26,,Delayed,,Safexpress,143.09
SHP-00038,ORD-00864,SUP-0040,2025-11-05,2025-11-08,,Delayed,,Ecom Express,94.18
SHP-00039,ORD-00453,SUP-0111,2024-12-17,2024-12-21,2024-12-25,Delivered,4,Xpressbees,69.56
SHP-00040,ORD-00043,SUP-0040,2025-01-19,2025-01-22,,Pending,,DTDC,246.5
SHP-00041,ORD-01006,SUP-0093,2024-05-31,2024-06-08,,Delayed,,BlueDart,202.29
SHP-00042,ORD-00580,SUP-0052,2025-01-11,2025-01-24,2025-01-31,Delivered,7,Ecom Express,30.29
SHP-00043,ORD-01305,SUP-0094,2024-02-20,2024-02-27,2024-02-28,Delivered,1,Ecom Express,141.14
SHP-00044,ORD-00594,SUP-0087,2024-12-27,2025-01-07,,Pending,,DTDC,94.06
SHP-00045,ORD-00892,SUP-0170,2024-07-10,2024-07-18,2024-07-23,Delivered,5,BlueDart,54.87
SHP-00046,ORD-01348,SUP-0131,2025-05-10,2025-05-18,,Delayed,,Delhivery,142.32
SHP-00047,ORD-01255,SUP-0024,2024-12-30,2025-01-05,2025-01-11,Delivered,6,Delhivery,128.17
SHP-00048,ORD-01470,SUP-0021,2024-02-22,2024-02-27,,Pending,,Xpressbees,26.75
SHP-00049,ORD-00676,SUP-0083,2025-11-27,2025-12-07,,Delayed,,DTDC,43.88
SHP-00050,ORD-01282,SUP-0060,2025-08-15,2025-08-26,,Delayed,,BlueDart,100.79
SHP-00051,ORD-00786,SUP-0063,2024-02-17,2024-02-29,,Cancelled,,DTDC,21.8
SHP-00052,ORD-01393,SUP-0133,2025-03-06,2025-03-16,2025-03-22,Delivered,6,Shadowfax,138.85
SHP-00053,ORD-01324,SUP-0095,2025-11-26,2025-11-29,2025-11-27,Delivered,-3,Ecom Express,198.56
SHP-00054,ORD-01131,SUP-0024,2024-07-20,2024-07-23,,Cancelled,,Delhivery,95.51
SHP-00055,ORD-00420,SUP-0073,2024-06-26,2024-06-30,2024-07-03,Delivered,3,Delhivery,13.08
SHP-00056,ORD-01451,SUP-0056,2024-07-13,2024-07-26,,In Transit,,Shadowfax,111.19
SHP-00057,ORD-01024,SUP-0171,2025-08-24,2025-08-28,2025-08-25,Delivered,-3,Safexpress,222.92
SHP-00058,ORD-01113,SUP-0044,2025-07-27,2025-08-06,,Delayed,,Safexpress,248.6
SHP-00059,ORD-00129,SUP-0055,2025-07-27,2025-08-07,,Cancelled,,Shadowfax,77.8
SHP-00060,ORD-00922,SUP-0198,2025-06-16,2025-06-30,2025-07-03,Delivered,3,Xpressbees,110.91
SHP-00061,ORD-00509,SUP-0003,2024-10-06,2024-10-19,,In Transit,,Shadowfax,61.98
SHP-00062,ORD-01050,SUP-0048,2025-12-17,2025-12-21,2025-12-22,Delivered,1,Safexpress,192.65
SHP-00063,ORD-00891,SUP-0039,2024-10-26,2024-11-01,,Delayed,,Safexpress,204.96
SHP-00064,ORD-00629,SUP-0166,2024-10-08,2024-10-14,2024-10-18,Delivered,4,Shadowfax,52.56
SHP-00065,ORD-01402,SUP-0112,2024-06-19,2024-06-30,,Delayed,,Xpressbees,63.71
SHP-00066,ORD-01217,SUP-0024,2025-10-28,2025-11-07,,Pending,,Safexpress,174.8
SHP-00067,ORD-00972,SUP-0157,2025-03-30,2025-04-05,,Pending,,Shadowfax,46.35
SHP-00068,ORD-00795,SUP-0023,2025-06-23,2025-07-05,,Delayed,,Ecom Express,233.4
SHP-00069,ORD-00527,SUP-0146,2025-01-28,2025-02-02,,Cancelled,,Shadowfax,177.27
SHP-00070,ORD-00511,SUP-0112,2024-04-04,2024-04-11,,Pending,,Xpressbees,81.18
SHP-00071,ORD-00296,SUP-0003,2024-07-19,2024-07-25,,Cancelled,,BlueDart,158.52
SHP-00072,ORD-01195,SUP-0097,2024-01-12,2024-01-23,,Cancelled,,Ecom Express,192.59
SHP-00073,ORD-01207,SUP-0171,2025-02-01,2025-02-09,,Delayed,,DTDC,132.24
SHP-00074,ORD-00250,SUP-0036,2025-11-08,2025-11-12,,Cancelled,,Shadowfax,196.47
SHP-00075,ORD-00299,SUP-0099,2024-09-05,2024-09-11,,In Transit,,Shadowfax,125.21
SHP-00076,ORD-00381,SUP-0054,2024-02-23,2024-03-03,,In Transit,,BlueDart,124.06
SHP-00077,ORD-01143,SUP-0183,2024-10-03,2024-10-11,2024-10-18,Delivered,7,Delhivery,54.92
SHP-00078,ORD-00848,SUP-0134,2025-05-18,2025-05-31,,Pending,,Ecom Express,126.46
SHP-00079,ORD-00501,SUP-0085,2024-02-22,2024-03-07,,Pending,,Ecom Express,148.11
SHP-00080,ORD-01406,SUP-0103,2024-11-29,2024-12-11,,Delayed,,Safexpress,205.76
SHP-00081,ORD-00762,SUP-0144,2025-04-16,2025-04-24,,Cancelled,,Safexpress,5.52
SHP-00082,ORD-00723,SUP-0102,2024-12-11,2024-12-26,2024-12-25,Delivered,-1,Safexpress,188.41
SHP-00083,ORD-01335,SUP-0066,2025-03-10,2025-03-22,,Pending,,Shadowfax,69.67
SHP-00084,ORD-00849,SUP-0010,2024-08-17,2024-08-26,,In Transit,,Ecom Express,105.72
SHP-00085,ORD-00523,SUP-0065,2025-03-20,2025-03-25,,Pending,,DTDC,67.03
SHP-00086,ORD-00087,SUP-0023,2024-03-03,2024-03-07,,Pending,,Safexpress,129.97
SHP-00087,ORD-00908,SUP-0026,2024-09-13,2024-09-26,,Delayed,,DTDC,95.32
SHP-00088,ORD-00104,SUP-0162,2024-09-12,2024-09-15,,Pending,,Shadowfax,27.71
SHP-00089,ORD-01081,SUP-0105,2024-12-21,2025-01-04,2025-01-06,Delivered,2,Ecom Express,158.7
SHP-00090,ORD-00483,SUP-0141,2024-08-17,2024-09-01,,Pending,,Ecom Express,17.17
SHP-00091,ORD-00180,SUP-0048,2025-10-02,2025-10-07,,Pending,,DTDC,50.52
SHP-00092,ORD-01153,SUP-0106,2025-05-27,2025-06-04,,Delayed,,Safexpress,248.8
SHP-00093,ORD-00382,SUP-0184,2025-05-16,2025-05-29,,Cancelled,,Delhivery,195.96
SHP-00094,ORD-00264,SUP-0025,2024-07-31,2024-08-10,,In Transit,,Delhivery,103.54
SHP-00095,ORD-01036,SUP-0012,2025-09-22,2025-10-05,2025-10-09,Delivered,4,Delhivery,94.09
SHP-00096,ORD-00260,SUP-0090,2025-09-09,2025-09-19,2025-09-20,Delivered,1,Xpressbees,225.54
SHP-00097,ORD-01341,SUP-0197,2024-10-29,2024-11-13,,Cancelled,,Xpressbees,93.65
SHP-00098,ORD-01226,SUP-0034,2024-01-22,2024-02-06,,Pending,,Xpressbees,9.64
SHP-00099,ORD-00370,SUP-0110,2024-12-25,2025-01-05,,Cancelled,,Delhivery,239.58
SHP-00100,ORD-00594,SUP-0050,2024-08-08,2024-08-18,,Pending,,Delhivery,81.47
SHP-00101,ORD-00013,SUP-0188,2025-10-04,2025-10-13,,Delayed,,Safexpress,181.29
SHP-00102,ORD-00253,SUP-0003,2024-08-14,2024-08-22,2024-08-20,Delivered,-2,Shadowfax,189.04
SHP-00103,ORD-00287,SUP-0151,2024-04-21,2024-05-01,,Delayed,,Xpressbees,75.44
SHP-00104,ORD-00412,SUP-0062,2025-04-15,2025-04-21,2025-04-25,Delivered,4,DTDC,42.97
SHP-00105,ORD-00581,SUP-0114,2024-09-08,2024-09-19,2024-09-18,Delivered,-1,Ecom Express,65.98
SHP-00106,ORD-00179,SUP-0106,2024-07-02,2024-07-10,,Delayed,,Ecom Express,102.55
SHP-00107,ORD-00089,SUP-0103,2024-06-28,2024-07-03,,In Transit,,Delhivery,226.56
SHP-00108,ORD-00729,SUP-0108,2024-12-13,2024-12-15,,Cancelled,,DTDC,40.66
SHP-00109,ORD-00930,SUP-0039,2024-11-29,2024-12-06,,Pending,,Xpressbees,116.94
SHP-00110,ORD-00285,SUP-0162,2024-02-25,2024-03-04,,In Transit,,Xpressbees,188.11
SHP-00111,ORD-00295,SUP-0002,2025-04-10,2025-04-13,,Pending,,Delhivery,222.87
SHP-00112,ORD-00730,SUP-0125,2025-12-02,2025-12-12,,Delayed,,Delhivery,109.44
SHP-00113,ORD-00006,SUP-0198,2024-11-22,2024-11-25,,Delayed,,Delhivery,243.01
SHP-00114,ORD-00171,SUP-0099,2025-12-15,2025-12-18,,Cancelled,,Xpressbees,218.03
SHP-00115,ORD-01227,SUP-0094,2024-07-26,2024-07-31,,In Transit,,DTDC,199.96
SHP-00116,ORD-01177,SUP-0162,2024-08-23,2024-08-25,,In Transit,,DTDC,95.79
SHP-00117,ORD-01085,SUP-0082,2024-10-15,2024-10-28,,Cancelled,,Delhivery,218.36
SHP-00118,ORD-00858,SUP-0015,2024-12-04,2024-12-19,,Delayed,,Xpressbees,147.51
SHP-00119,ORD-00386,SUP-0059,2024-05-28,2024-06-10,2024-06-15,Delivered,5,Delhivery,41.24
SHP-00120,ORD-00362,SUP-0192,2025-02-09,2025-02-17,,Pending,,Shadowfax,197.11
SHP-00121,ORD-01287,SUP-0029,2025-12-01,2025-12-14,,Pending,,Shadowfax,11.01
SHP-00122,ORD-01477,SUP-0199,2024-02-05,2024-02-08,,Pending,,Safexpress,226.95
SHP-00123,ORD-00662,SUP-0130,2025-12-28,2026-01-07,,Pending,,Delhivery,195.87
SHP-00124,ORD-00202,SUP-0049,2024-02-21,2024-02-26,,Cancelled,,Ecom Express,100.88
SHP-00125,ORD-00748,SUP-0052,2024-09-10,2024-09-18,,In Transit,,DTDC,63.34
SHP-00126,ORD-00647,SUP-0078,2025-05-08,2025-05-21,,Pending,,BlueDart,119.04
SHP-00127,ORD-00109,SUP-0139,2024-01-03,2024-01-18,,Cancelled,,Ecom Express,34.28
SHP-00128,ORD-00540,SUP-0009,2024-08-26,2024-09-04,,Delayed,,Safexpress,163.46
SHP-00129,ORD-00197,SUP-0113,2025-04-18,2025-05-03,2025-05-04,Delivered,1,Delhivery,32.27
SHP-00130,ORD-00377,SUP-0142,2024-12-15,2024-12-19,,Cancelled,,Safexpress,209.5
SHP-00131,ORD-00459,SUP-0121,2024-08-05,2024-08-18,,Cancelled,,Delhivery,115.02
SHP-00132,ORD-01105,SUP-0028,2025-01-18,2025-01-28,,Delayed,,Xpressbees,97.75
SHP-00133,ORD-00911,SUP-0025,2025-01-18,2025-01-25,2025-01-31,Delivered,6,Xpressbees,238.2
SHP-00134,ORD-00485,SUP-0008,2025-12-06,2025-12-11,,Cancelled,,DTDC,176.85
SHP-00135,ORD-00118,SUP-0093,2025-12-03,2025-12-16,,Pending,,DTDC,149.47
SHP-00136,ORD-00776,SUP-0064,2025-09-13,2025-09-18,,Cancelled,,Safexpress,164.36
SHP-00137,ORD-01000,SUP-0074,2025-08-25,2025-09-02,,In Transit,,Safexpress,127.39
SHP-00138,ORD-01064,SUP-0077,2025-09-08,2025-09-21,,Pending,,Delhivery,99.5
SHP-00139,ORD-01443,SUP-0091,2025-10-06,2025-10-21,,Pending,,DTDC,41.56
SHP-00140,ORD-00685,SUP-0095,2025-08-07,2025-08-22,,In Transit,,Xpressbees,10.26
SHP-00141,ORD-01019,SUP-0148,2025-01-26,2025-01-28,,Pending,,Ecom Express,101.03
SHP-00142,ORD-00026,SUP-0083,2025-04-25,2025-05-07,,Cancelled,,Xpressbees,41.07
SHP-00143,ORD-01478,SUP-0149,2024-07-05,2024-07-08,,Delayed,,Safexpress,205.6
SHP-00144,ORD-00842,SUP-0162,2024-01-27,2024-02-11,,In Transit,,Safexpress,98.84
SHP-00145,ORD-00133,SUP-0132,2024-05-04,2024-05-12,,Cancelled,,DTDC,216.95
SHP-00146,ORD-00241,SUP-0057,2024-01-28,2024-02-11,,Cancelled,,Xpressbees,210.42
SHP-00147,ORD-01204,SUP-0147,2025-10-26,2025-11-06,2025-11-07,Delivered,1,Delhivery,204.57
SHP-00148,ORD-00138,SUP-0013,2025-10-31,2025-11-02,,Delayed,,DTDC,53.09
SHP-00149,ORD-00279,SUP-0044,2025-05-26,2025-06-07,,Delayed,,Shadowfax,10.91
SHP-00150,ORD-01369,SUP-0120,2025-11-13,2025-11-22,,Cancelled,,DTDC,125.28
SHP-00151,ORD-01016,SUP-0151,2024-02-20,2024-02-26,2024-03-04,Delivered,7,Xpressbees,37.86
SHP-00152,ORD-00790,SUP-0027,2025-06-02,2025-06-05,,In Transit,,Shadowfax,87.28
SHP-00153,ORD-01327,SUP-0079,2025-11-02,2025-11-10,,Cancelled,,Xpressbees,11.9
SHP-00154,ORD-01006,SUP-0082,2025-04-05,2025-04-17,,In Transit,,Shadowfax,93.69
SHP-00155,ORD-01425,SUP-0039,2025-07-30,2025-08-10,2025-08-09,Delivered,-1,Delhivery,91.75
SHP-00156,ORD-00247,SUP-0062,2024-07-28,2024-08-05,,Pending,,DTDC,232.23
SHP-00157,ORD-01166,SUP-0073,2025-11-09,2025-11-23,,Delayed,,Safexpress,135.01
SHP-00158,ORD-01373,SUP-0012,2025-09-16,2025-09-23,,In Transit,,Delhivery,126.52
SHP-00159,ORD-00217,SUP-0069,2025-03-10,2025-03-23,,Delayed,,DTDC,182.01
SHP-00160,ORD-00853,SUP-0093,2025-10-16,2025-10-21,,Delayed,,Shadowfax,34.56
SHP-00161,ORD-00268,SUP-0128,2024-04-25,2024-05-08,,Delayed,,Ecom Express,129.85
SHP-00162,ORD-00578,SUP-0062,2025-05-26,2025-06-06,,Delayed,,Ecom Express,216.51
SHP-00163,ORD-01258,SUP-0141,2025-09-29,2025-10-11,,Pending,,Ecom Express,57.96
SHP-00164,ORD-00482,SUP-0149,2025-01-16,2025-01-27,,Delayed,,Shadowfax,120.07
SHP-00165,ORD-00255,SUP-0198,2024-06-30,2024-07-04,,Pending,,Delhivery,211.38
SHP-00166,ORD-01253,SUP-0066,2024-07-23,2024-08-05,2024-08-08,Delivered,3,Xpressbees,161.9
SHP-00167,ORD-00253,SUP-0126,2024-06-01,2024-06-15,,Delayed,,Delhivery,146.45
SHP-00168,ORD-01165,SUP-0049,2025-03-06,2025-03-17,,Cancelled,,BlueDart,95.54
SHP-00169,ORD-01390,SUP-0020,2024-02-08,2024-02-20,,In Transit,,BlueDart,192.34
SHP-00170,ORD-00980,SUP-0083,2025-07-24,2025-07-26,,In Transit,,Safexpress,101.36
SHP-00171,ORD-00272,SUP-0060,2025-06-11,2025-06-18,,Delayed,,BlueDart,85.71
SHP-00172,ORD-00679,SUP-0044,2024-07-01,2024-07-14,,Delayed,,Delhivery,38.26
SHP-00173,ORD-01384,SUP-0065,2024-10-10,2024-10-19,,Cancelled,,Xpressbees,128.52
SHP-00174,ORD-00233,SUP-0104,2024-07-09,2024-07-13,,Cancelled,,Shadowfax,214.35
SHP-00175,ORD-01207,SUP-0095,2024-07-20,2024-08-02,,Pending,,Delhivery,115.75
SHP-00176,ORD-01169,SUP-0149,2024-06-18,2024-06-22,,In Transit,,BlueDart,25.26
SHP-00177,ORD-01321,SUP-0086,2025-04-16,2025-04-24,,Cancelled,,Delhivery,199.34
SHP-00178,ORD-01163,SUP-0185,2025-10-28,2025-11-09,,Pending,,DTDC,211.78
SHP-00179,ORD-00765,SUP-0124,2025-10-21,2025-10-28,2025-10-30,Delivered,2,Safexpress,166.74
SHP-00180,ORD-01485,SUP-0118,2025-05-09,2025-05-12,,Cancelled,,Ecom Express,54.94
SHP-00181,ORD-00258,SUP-0078,2025-11-16,2025-11-21,,Pending,,Safexpress,83.22
SHP-00182,ORD-00717,SUP-0020,2024-09-10,2024-09-23,,Cancelled,,Delhivery,174.03
SHP-00183,ORD-01014,SUP-0037,2024-12-26,2025-01-10,2025-01-16,Delivered,6,Xpressbees,43.69
SHP-00184,ORD-01268,SUP-0188,2024-10-05,2024-10-07,,Cancelled,,DTDC,51.08
SHP-00185,ORD-01212,SUP-0165,2025-12-19,2025-12-28,,Pending,,Ecom Express,247.99
SHP-00186,ORD-00382,SUP-0052,2025-09-18,2025-09-23,,Pending,,Shadowfax,29.6
SHP-00187,ORD-01098,SUP-0134,2025-01-21,2025-01-23,,Delayed,,Shadowfax,82.28
SHP-00188,ORD-00034,SUP-0070,2025-02-13,2025-02-27,,Cancelled,,BlueDart,194.63
SHP-00189,ORD-01187,SUP-0028,2025-10-20,2025-10-26,,Pending,,Delhivery,197.53
SHP-00190,ORD-00139,SUP-0125,2024-01-17,2024-01-21,,Pending,,DTDC,188.42
SHP-00191,ORD-00971,SUP-0090,2024-09-23,2024-09-28,,Cancelled,,Ecom Express,211.17
SHP-00192,ORD-00308,SUP-0019,2024-04-27,2024-04-30,2024-05-05,Delivered,5,Shadowfax,138.7
SHP-00193,ORD-01312,SUP-0160,2025-09-21,2025-10-02,,Delayed,,Safexpress,32.84
SHP-00194,ORD-00319,SUP-0095,2025-10-04,2025-10-09,,Cancelled,,Xpressbees,242.93
SHP-00195,ORD-00658,SUP-0129,2024-08-03,2024-08-09,,Cancelled,,Safexpress,24.0
SHP-00196,ORD-00183,SUP-0049,2024-11-28,2024-11-30,,Delayed,,Ecom Express,117.22
SHP-00197,ORD-00811,SUP-0074,2024-02-24,2024-03-10,2024-03-13,Delivered,3,DTDC,233.59
SHP-00198,ORD-01408,SUP-0078,2024-06-14,2024-06-18,,Delayed,,DTDC,235.5
SHP-00199,ORD-00663,SUP-0001,2024-10-17,2024-10-21,,Delayed,,BlueDart,240.57
SHP-00200,ORD-00473,SUP-0100,2024-12-15,2024-12-29,,Pending,,Shadowfax,178.75
SHP-00201,ORD-00348,SUP-0073,2024-05-27,2024-06-07,,In Transit,,Delhivery,125.1
SHP-00202,ORD-00171,SUP-0076,2025-03-31,2025-04-12,,In Transit,,BlueDart,72.67
SHP-00203,ORD-00785,SUP-0067,2024-03-04,2024-03-11,,Cancelled,,Xpressbees,172.87
SHP-00204,ORD-01477,SUP-0064,2025-11-08,2025-11-16,2025-11-13,Delivered,-3,Shadowfax,133.74
SHP-00205,ORD-00158,SUP-0199,2024-02-22,2024-03-04,,Delayed,,Ecom Express,31.55
SHP-00206,ORD-00389,SUP-0067,2024-12-11,2024-12-14,,In Transit,,Safexpress,191.82
SHP-00207,ORD-00175,SUP-0075,2024-06-30,2024-07-04,2024-07-03,Delivered,-1,Safexpress,31.14
SHP-00208,ORD-00693,SUP-0011,2025-02-12,2025-02-20,2025-02-25,Delivered,5,Shadowfax,87.67
SHP-00209,ORD-00519,SUP-0070,2025-11-11,2025-11-21,2025-11-23,Delivered,2,Delhivery,51.98
SHP-00210,ORD-01381,SUP-0093,2024-07-20,2024-07-28,,Delayed,,Safexpress,201.89
SHP-00211,ORD-00288,SUP-0018,2025-06-14,2025-06-25,,Pending,,Ecom Express,226.67
SHP-00212,ORD-01427,SUP-0113,2024-11-23,2024-11-26,,Cancelled,,Safexpress,155.09
SHP-00213,ORD-01366,SUP-0044,2025-01-17,2025-01-27,,Delayed,,Shadowfax,19.59
SHP-00214,ORD-00675,SUP-0046,2024-06-30,2024-07-11,,Pending,,BlueDart,25.98
SHP-00215,ORD-01198,SUP-0041,2024-04-28,2024-05-10,2024-05-11,Delivered,1,Shadowfax,147.81
SHP-00216,ORD-01245,SUP-0075,2024-10-03,2024-10-06,,Cancelled,,Delhivery,74.64
SHP-00217,ORD-00173,SUP-0178,2024-08-09,2024-08-16,,Cancelled,,Safexpress,102.21
SHP-00218,ORD-01183,SUP-0031,2025-08-18,2025-08-29,,In Transit,,Ecom Express,214.41
SHP-00219,ORD-00845,SUP-0031,2024-11-25,2024-11-27,,In Transit,,DTDC,44.76
SHP-00220,ORD-01456,SUP-0011,2024-02-01,2024-02-10,2024-02-11,Delivered,1,BlueDart,17.65
SHP-00221,ORD-01037,SUP-0079,2025-10-24,2025-11-06,,Pending,,Xpressbees,156.48
SHP-00222,ORD-01031,SUP-0104,2025-06-09,2025-06-17,,Cancelled,,Ecom Express,157.94
SHP-00223,ORD-01114,SUP-0119,2024-03-16,2024-03-20,,Cancelled,,BlueDart,235.18
SHP-00224,ORD-01229,SUP-0099,2024-05-07,2024-05-19,,In Transit,,Xpressbees,222.29
SHP-00225,ORD-00670,SUP-0070,2025-09-13,2025-09-21,2025-09-22,Delivered,1,Safexpress,161.62
SHP-00226,ORD-00254,SUP-0039,2024-11-16,2024-11-30,,In Transit,,Safexpress,32.85
SHP-00227,ORD-01341,SUP-0016,2024-01-27,2024-01-30,2024-01-30,Delivered,0,Shadowfax,82.09
SHP-00228,ORD-00282,SUP-0137,2024-08-10,2024-08-17,2024-08-20,Delivered,3,DTDC,46.85
SHP-00229,ORD-00483,SUP-0065,2024-10-23,2024-11-02,,In Transit,,Safexpress,243.35
SHP-00230,ORD-01490,SUP-0189,2024-05-08,2024-05-21,,In Transit,,Ecom Express,101.66
SHP-00231,ORD-00805,SUP-0200,2025-05-03,2025-05-15,2025-05-15,Delivered,0,BlueDart,7.46
SHP-00232,ORD-00286,SUP-0194,2024-11-16,2024-12-01,,In Transit,,Ecom Express,43.94
SHP-00233,ORD-01100,SUP-0011,2025-03-10,2025-03-24,,Delayed,,DTDC,114.81
SHP-00234,ORD-00789,SUP-0035,2024-01-31,2024-02-14,,Pending,,Shadowfax,230.09
SHP-00235,ORD-00406,SUP-0138,2025-10-29,2025-11-12,,Cancelled,,Xpressbees,161.75
SHP-00236,ORD-00874,SUP-0078,2025-12-26,2026-01-04,,Delayed,,Delhivery,242.98
SHP-00237,ORD-01436,SUP-0035,2025-05-26,2025-06-10,,Delayed,,Delhivery,14.73
SHP-00238,ORD-01332,SUP-0075,2024-12-12,2024-12-26,,In Transit,,DTDC,173.6
SHP-00239,ORD-00042,SUP-0010,2024-09-03,2024-09-16,,In Transit,,DTDC,95.74
SHP-00240,ORD-00150,SUP-0127,2024-01-20,2024-02-02,,Cancelled,,BlueDart,74.5
SHP-00241,ORD-00947,SUP-0047,2024-05-20,2024-05-26,,Pending,,Xpressbees,89.86
SHP-00242,ORD-00133,SUP-0172,2025-03-23,2025-04-03,,Cancelled,,BlueDart,150.41
SHP-00243,ORD-00995,SUP-0142,2025-03-20,2025-03-31,,In Transit,,Ecom Express,176.33
SHP-00244,ORD-00450,SUP-0044,2025-07-22,2025-08-05,2025-08-10,Delivered,5,DTDC,232.34
SHP-00245,ORD-01181,SUP-0050,2024-07-14,2024-07-26,,Delayed,,Safexpress,158.51
SHP-00246,ORD-00941,SUP-0006,2025-07-16,2025-07-26,,Delayed,,Xpressbees,221.74
SHP-00247,ORD-00082,SUP-0060,2024-10-07,2024-10-19,,In Transit,,Ecom Express,226.43
SHP-00248,ORD-00936,SUP-0134,2025-10-28,2025-10-31,,In Transit,,Shadowfax,152.51
SHP-00249,ORD-01186,SUP-0186,2024-08-28,2024-09-12,2024-09-10,Delivered,-2,Xpressbees,172.01
SHP-00250,ORD-01215,SUP-0082,2024-07-10,2024-07-22,2024-07-22,Delivered,0,BlueDart,81.55
SHP-00251,ORD-00958,SUP-0121,2024-02-28,2024-03-01,,Pending,,DTDC,249.18
SHP-00252,ORD-00007,SUP-0002,2025-05-22,2025-05-29,,Delayed,,Safexpress,141.85
SHP-00253,ORD-00610,SUP-0148,2025-08-02,2025-08-14,,Pending,,Shadowfax,154.93
SHP-00254,ORD-00819,SUP-0097,2024-07-21,2024-07-30,,Pending,,Shadowfax,106.96
SHP-00255,ORD-00850,SUP-0003,2024-05-08,2024-05-13,2024-05-18,Delivered,5,DTDC,84.71
SHP-00256,ORD-01186,SUP-0142,2025-01-02,2025-01-13,2025-01-14,Delivered,1,Ecom Express,186.26
SHP-00257,ORD-00570,SUP-0150,2024-06-24,2024-07-01,,In Transit,,Ecom Express,87.48
SHP-00258,ORD-00402,SUP-0157,2024-07-12,2024-07-25,2024-07-27,Delivered,2,Delhivery,91.0
